original_page,original_request,response_page,response_status
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/,200
https://stanfordhealthcarealliance.org/,,https://www.aetna.com/dsepublic/,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/about-us/conduct.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/enroll/transition-care.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/medical-clinics/coordinated-care.html,200
https://stanfordhealthcarealliance.org/,http://stanfordmedicine.org,https://stanfordmedicine.org/,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/about-us/legal-disclaimer.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/medical-clinics/express-care.html,200
https://stanfordhealthcarealliance.org/,https://stanfordhealthcare.org/for-patients-visitors/your-hospital-stay/patient-privacy.html,https://stanfordhealthcare.org/for-patients-visitors/guest-services/patient-privacy.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/for-patients-visitors/myhealth.html?ecid=myhealth-na-na--all-na-Oct16-na,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/contact-us.html,200
https://stanfordhealthcarealliance.org/,,https://play.google.com/store/apps/details?id=org.stanfordhealthcare.myhealth,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/tools/modals/stanford-docfind.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/medical-clinics/stanford-primary-care-santa-clara.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/su2020.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/doctors/n/neha-narula.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/doctors/t/elise-torres.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/tools/modals/stanford-video.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/medical-clinics/stanford-primary-care-portola-valley.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/find-care.html,200
https://stanfordhealthcarealliance.org/,https://itunes.apple.com/us/app/stanford-health-care-myhealth/id922978966?mt=8,https://apps.apple.com/us/app/stanford-health-care-myhealth/id922978966,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcare.org/doctors/c/meenadchi-chelvakumar.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/members.html,200
https://stanfordhealthcarealliance.org/find-care.html,,https://stanfordhealthcare.org/medical-clinics/emergency-department.html,200
https://stanfordhealthcarealliance.org/,,https://med.stanford.edu/covid19.html,200
https://stanfordhealthcarealliance.org/,,https://stanfordhealthcarealliance.org/enroll.html,200
https://stanfordhealthcarealliance.org/,http://www.aetnanavigator.com/,https://member.aetna.com/appConfig/login/login.fcc?TYPE=33554433&REALMOID=06-36d8cb4d-4ac1-44c7-b12d-a80fba4b718e&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=aiAkv3f5pG05SSxTJZwyRbfimKsEdGA9gJ0qRwby5alunoyLNGAOUBxl8izZyu4X&TARGET=-SM-HTTPS%3a%2f%2fmember%2eaetna%2ecom%2fMbrLanding%2fRoutingServlet%3fcreateSession%3dtrue,200
https://stanfordhealthcarealliance.org/find-care.html,,https://stanfordhealthcare.org/medical-clinics/express-care-palo-alto.html,200
